,Total,Utility_Gas,BottledTankLPGas,Electricity,Fuel,Coal,Wood,Solar,Other,state,county
2165,16244.0,6776.0,2407.0,4812.0,671.0,41.0,1257.0,0.0,222.0,39,059
2166,32022.0,18827.0,3838.0,8043.0,173.0,0.0,818.0,0.0,233.0,39,063
2167,11777.0,5004.0,2767.0,2896.0,75.0,0.0,831.0,0.0,114.0,39,065
2168,11069.0,5744.0,2513.0,2006.0,153.0,34.0,438.0,3.0,127.0,39,069
2169,11533.0,3946.0,1753.0,4438.0,330.0,8.0,821.0,0.0,160.0,39,073
2170,12351.0,7216.0,1090.0,1644.0,175.0,37.0,1826.0,53.0,268.0,39,075
2171,12971.0,4161.0,1558.0,6139.0,176.0,60.0,796.0,20.0,18.0,39,079
2172,27541.0,13067.0,1322.0,8037.0,3949.0,0.0,990.0,0.0,171.0,39,081
2173,96534.0,78868.0,1158.0,13943.0,1143.0,49.0,545.0,27.0,548.0,39,085
2174,23208.0,8468.0,3912.0,10115.0,98.0,28.0,488.0,0.0,68.0,39,087
2175,18604.0,8740.0,3579.0,4477.0,236.0,9.0,1167.0,0.0,303.0,39,091
2176,121669.0,93072.0,3723.0,21503.0,825.0,41.0,932.0,46.0,949.0,39,093
2177,15017.0,7884.0,2076.0,4206.0,363.0,0.0,295.0,0.0,181.0,39,097
2178,24617.0,15312.0,2569.0,5466.0,545.0,0.0,417.0,0.0,212.0,39,101
2179,69739.0,50676.0,2992.0,12275.0,1489.0,0.0,1169.0,16.0,904.0,39,103
2180,16078.0,7465.0,3234.0,4148.0,433.0,0.0,480.0,0.0,181.0,39,107
2181,41260.0,24408.0,3088.0,11147.0,1221.0,0.0,948.0,0.0,350.0,39,109
2182,227077.0,150574.0,5277.0,66038.0,2331.0,35.0,723.0,43.0,1073.0,39,113
2183,6076.0,2238.0,1030.0,1745.0,257.0,19.0,569.0,0.0,175.0,39,115
2184,33797.0,19210.0,2033.0,9555.0,1338.0,13.0,1016.0,0.0,501.0,39,119
2185,19195.0,695.0,1240.0,5318.0,4629.0,0.0,6909.0,110.0,174.0,06,093
2186,174826.0,123966.0,5408.0,41060.0,30.0,0.0,1835.0,1138.0,421.0,06,099
2187,5896.0,197.0,757.0,1620.0,632.0,0.0,2651.0,4.0,16.0,06,105
2188,271639.0,207348.0,3635.0,44046.0,193.0,17.0,1136.0,1417.0,306.0,06,111
2189,7416.0,2858.0,460.0,3968.0,4.0,0.0,97.0,0.0,17.0,05,001
2190,99661.0,46126.0,7307.0,42227.0,22.0,0.0,3273.0,102.0,394.0,05,007
2191,4233.0,1048.0,733.0,2269.0,1.0,0.0,158.0,0.0,3.0,05,011
2192,4052.0,1489.0,587.0,1924.0,0.0,0.0,52.0,0.0,0.0,05,017
2193,10882.0,1982.0,2303.0,6183.0,0.0,0.0,365.0,0.0,43.0,05,023
2194,8491.0,2238.0,650.0,4970.0,157.0,0.0,458.0,0.0,15.0,05,029
2195,24065.0,9117.0,953.0,12555.0,0.0,0.0,1291.0,20.0,0.0,05,033
2196,2992.0,930.0,275.0,1607.0,3.0,0.0,176.0,0.0,0.0,05,039
2197,45091.0,15231.0,1132.0,27713.0,26.0,0.0,743.0,0.0,16.0,05,045
2198,40906.0,12041.0,1855.0,26018.0,22.0,0.0,857.0,0.0,70.0,05,051
2199,17587.0,2369.0,1822.0,12805.0,1.0,0.0,517.0,0.0,8.0,05,055
2200,5271.0,1626.0,227.0,3138.0,0.0,0.0,243.0,14.0,8.0,05,061
2201,6241.0,3023.0,431.0,2646.0,0.0,0.0,114.0,14.0,13.0,05,067
2202,2898.0,1027.0,299.0,1537.0,7.0,0.0,21.0,0.0,5.0,05,073
2203,3202.0,1244.0,594.0,1298.0,9.0,0.0,42.0,0.0,15.0,05,077
2204,8359.0,2449.0,419.0,4583.0,48.0,0.0,754.0,4.0,59.0,05,083
2205,6918.0,884.0,1263.0,3645.0,14.0,0.0,928.0,0.0,152.0,05,089
2206,16623.0,8520.0,813.0,6932.0,0.0,0.0,188.0,0.0,47.0,05,093
2207,7220.0,844.0,1582.0,4103.0,0.0,0.0,627.0,6.0,13.0,05,141
2208,3002.0,1275.0,269.0,1419.0,0.0,0.0,36.0,0.0,0.0,05,147
2209,345070.0,140147.0,15254.0,57830.0,125962.0,170.0,2114.0,208.0,1836.0,09,001
2210,67765.0,10465.0,4616.0,11544.0,37593.0,88.0,2128.0,165.0,702.0,09,007
2211,56077.0,8047.0,4652.0,8985.0,31495.0,96.0,2061.0,40.0,510.0,09,013
2212,988.0,2.0,0.0,76.0,895.0,0.0,15.0,0.0,0.0,02,013
2213,4499.0,26.0,42.0,123.0,3938.0,2.0,357.0,0.0,0.0,02,050
2214,1063.0,9.0,7.0,13.0,650.0,10.0,368.0,0.0,2.0,02,066
2215,36199.0,2260.0,667.0,3686.0,25653.0,422.0,1832.0,38.0,1053.0,02,090
2216,12878.0,613.0,532.0,4069.0,7029.0,0.0,369.0,0.0,207.0,02,110
2217,4231.0,253.0,115.0,458.0,2903.0,34.0,373.0,0.0,36.0,02,150
2218,366.0,2.0,0.0,13.0,329.0,1.0,16.0,0.0,3.0,02,164
2219,1991.0,1315.0,0.0,71.0,569.0,1.0,1.0,0.0,8.0,02,185
2220,2353.0,25.0,146.0,314.0,856.0,1.0,994.0,4.0,13.0,02,198
2221,2287.0,33.0,16.0,36.0,1323.0,34.0,794.0,0.0,51.0,02,240
2222,167290.0,120773.0,2533.0,41099.0,136.0,18.0,504.0,600.0,713.0,08,001
2223,241889.0,166488.0,3056.0,68639.0,270.0,93.0,505.0,522.0,1072.0,08,005
2224,1879.0,1330.0,313.0,129.0,0.0,8.0,68.0,3.0,28.0,08,011
2225,8650.0,3917.0,2220.0,1499.0,31.0,12.0,748.0,87.0,100.0,08,015
2226,4378.0,2099.0,1008.0,692.0,0.0,0.0,417.0,46.0,53.0,08,019
2227,1421.0,940.0,249.0,114.0,0.0,0.0,113.0,0.0,0.0,08,025
2228,287756.0,191899.0,3762.0,85216.0,341.0,15.0,263.0,772.0,2925.0,08,031
2229,394.0,30.0,131.0,73.0,0.0,0.0,157.0,0.0,3.0,08,079
2230,17483.0,11034.0,1994.0,2582.0,46.0,51.0,1501.0,47.0,149.0,08,085
2231,7761.0,6097.0,367.0,905.0,0.0,0.0,324.0,0.0,44.0,08,089
2232,1737.0,1159.0,264.0,277.0,3.0,0.0,1.0,0.0,26.0,08,095
2233,65206.0,49159.0,2501.0,11395.0,62.0,0.0,891.0,69.0,820.0,08,101
2234,10100.0,4707.0,1506.0,2815.0,0.0,18.0,981.0,0.0,73.0,08,107
2235,297.0,32.0,152.0,46.0,0.0,11.0,55.0,0.0,1.0,08,111
2236,11609.0,6016.0,290.0,4883.0,41.0,0.0,318.0,44.0,16.0,08,117
2237,102046.0,74970.0,7786.0,16503.0,160.0,19.0,1046.0,339.0,811.0,08,123
2238,67299.0,26906.0,9527.0,20540.0,7999.0,330.0,1138.0,34.0,514.0,10,001
2239,4203.0,1523.0,630.0,1308.0,10.0,0.0,706.0,0.0,25.0,30,001
2240,2436.0,478.0,1029.0,285.0,32.0,0.0,539.0,0.0,73.0,30,007
2241,34440.0,26358.0,1827.0,4726.0,209.0,0.0,707.0,144.0,286.0,30,013
2242,4837.0,2889.0,570.0,1248.0,0.0,28.0,42.0,2.0,44.0,30,017
2243,8249.0,4398.0,1999.0,738.0,425.0,0.0,506.0,0.0,151.0,55,061
2244,8539.0,4793.0,1812.0,763.0,182.0,15.0,847.0,0.0,121.0,55,067
2245,55998.0,32139.0,8502.0,8429.0,2127.0,5.0,3549.0,37.0,797.0,55,073
2246,1400.0,70.0,955.0,69.0,6.0,0.0,272.0,0.0,28.0,55,078
2247,15677.0,9594.0,3505.0,1348.0,67.0,2.0,1039.0,0.0,71.0,55,085
2248,3127.0,853.0,1204.0,434.0,172.0,0.0,394.0,2.0,43.0,55,091
2249,28912.0,16494.0,4761.0,4952.0,409.0,0.0,1744.0,12.0,332.0,55,097
2250,7580.0,2806.0,2881.0,518.0,198.0,0.0,1080.0,4.0,65.0,55,103
2251,34683.0,21569.0,5782.0,5544.0,371.0,2.0,761.0,2.0,532.0,55,109
2252,2187.0,1371.0,229.0,396.0,2.0,6.0,176.0,0.0,0.0,56,017
2253,32896.0,24008.0,1106.0,6578.0,42.0,5.0,540.0,37.0,473.0,56,025
2254,3846.0,1930.0,938.0,653.0,0.0,0.0,269.0,0.0,4.0,56,031
2255,15726.0,12469.0,427.0,2424.0,35.0,10.0,239.0,0.0,122.0,56,037
2256,3437.0,2424.0,420.0,371.0,4.0,0.0,174.0,0.0,44.0,56,043
2257,13005.0,0.0,68.0,502.0,0.0,0.0,0.0,7.0,7.0,72,003
2258,8795.0,0.0,108.0,500.0,0.0,0.0,0.0,52.0,0.0,72,009
2259,6070.0,44.0,67.0,580.0,0.0,0.0,0.0,95.0,0.0,72,015
2260,67487.0,114.0,682.0,10729.0,11.0,0.0,0.0,363.0,54.0,72,021
2261,14705.0,16.0,139.0,1179.0,0.0,0.0,0.0,11.0,18.0,72,029
2262,16233.0,0.0,156.0,950.0,0.0,0.0,0.0,66.0,8.0,72,035
2263,13054.0,0.0,121.0,575.0,0.0,0.0,0.0,40.0,5.0,72,041
2264,10765.0,0.0,103.0,627.0,0.0,0.0,0.0,89.0,0.0,72,047
2265,12412.0,22.0,138.0,1016.0,0.0,0.0,0.0,80.0,0.0,72,053
2266,6539.0,11.0,116.0,441.0,0.0,0.0,0.0,46.0,28.0,72,059
2267,13914.0,9.0,148.0,489.0,0.0,0.0,0.0,31.0,0.0,72,065
2268,15159.0,8.0,103.0,983.0,0.0,23.0,0.0,45.0,0.0,72,071
2269,13025.0,0.0,104.0,274.0,0.0,0.0,0.0,19.0,36.0,72,077
2270,9973.0,30.0,50.0,427.0,0.0,0.0,0.0,42.0,0.0,72,123
2271,13740.0,0.0,124.0,712.0,0.0,0.0,0.0,15.0,0.0,72,131
2272,27915.0,9.0,220.0,2835.0,0.0,0.0,26.0,130.0,9.0,72,137
2273,12124.0,0.0,120.0,601.0,0.0,0.0,0.0,222.0,0.0,72,143
2274,11687.0,12.0,76.0,742.0,0.0,0.0,0.0,28.0,0.0,72,151
2275,5649.0,1761.0,135.0,3680.0,10.0,0.0,26.0,0.0,15.0,48,003
2276,3513.0,684.0,573.0,2164.0,0.0,9.0,32.0,25.0,26.0,48,009
2277,11569.0,2244.0,2324.0,6554.0,18.0,0.0,90.0,2.0,253.0,48,015
2278,26173.0,4215.0,2336.0,19013.0,56.0,0.0,342.0,15.0,25.0,48,021
2279,125747.0,14778.0,1723.0,107614.0,92.0,32.0,591.0,136.0,143.0,48,027
2280,223.0,20.0,66.0,128.0,0.0,0.0,9.0,0.0,0.0,48,033
2281,34283.0,12377.0,944.0,20491.0,0.0,0.0,354.0,0.0,11.0,48,037
