,NAME,state,county
153,"Worth County, Missouri",29,227
154,"St. Louis city, Missouri",29,510
155,"Bay County, Florida",12,005
156,"Broward County, Florida",12,011
157,"Citrus County, Florida",12,017
158,"Columbia County, Florida",12,023
159,"Duval County, Florida",12,031
160,"Franklin County, Florida",12,037
161,"Glades County, Florida",12,043
162,"Hardee County, Florida",12,049
163,"Highlands County, Florida",12,055
164,"Indian River County, Florida",12,061
165,"Lafayette County, Florida",12,067
166,"Leon County, Florida",12,073
167,"Liberty County, Florida",12,077
168,"Marion County, Florida",12,083
169,"Monroe County, Florida",12,087
170,"Okeechobee County, Florida",12,093
171,"Arthur County, Nebraska",31,005
172,"Boone County, Nebraska",31,011
173,"Brown County, Nebraska",31,017
174,"Butler County, Nebraska",31,023
175,"Wadena County, Minnesota",27,159
176,"Chase County, Nebraska",31,029
177,"Clay County, Nebraska",31,035
178,"Cuming County, Nebraska",31,039
179,"Dawes County, Nebraska",31,045
180,"Dixon County, Nebraska",31,051
181,"Dundy County, Nebraska",31,057
182,"Frontier County, Nebraska",31,063
183,"Garden County, Nebraska",31,069
184,"Grant County, Nebraska",31,075
185,"Hamilton County, Nebraska",31,081
186,"Cherokee County, Alabama",01,019
187,"Chilton County, Alabama",01,021
188,"Choctaw County, Alabama",01,023
189,"Clarke County, Alabama",01,025
190,"Clay County, Alabama",01,027
191,"Cleburne County, Alabama",01,029
192,"Coffee County, Alabama",01,031
193,"Colbert County, Alabama",01,033
194,"Conecuh County, Alabama",01,035
195,"Coosa County, Alabama",01,037
196,"Crenshaw County, Alabama",01,041
197,"Cullman County, Alabama",01,043
198,"Dallas County, Alabama",01,047
199,"DeKalb County, Alabama",01,049
200,"Escambia County, Alabama",01,053
201,"Etowah County, Alabama",01,055
202,"Franklin County, Alabama",01,059
203,"Greene County, Alabama",01,063
204,"Hale County, Alabama",01,065
205,"Houston County, Alabama",01,069
206,"Jackson County, Alabama",01,071
207,"Lamar County, Alabama",01,075
208,"Lauderdale County, Alabama",01,077
209,"Lee County, Alabama",01,081
210,"Lowndes County, Alabama",01,085
211,"Macon County, Alabama",01,087
212,"Marengo County, Alabama",01,091
213,"Marion County, Alabama",01,093
214,"Mobile County, Alabama",01,097
215,"Monroe County, Alabama",01,099
216,"Morgan County, Alabama",01,103
217,"Pickens County, Alabama",01,107
218,"Pike County, Alabama",01,109
219,"Russell County, Alabama",01,113
220,"St. Clair County, Alabama",01,115
221,"Sumter County, Alabama",01,119
222,"Tallapoosa County, Alabama",01,123
223,"Tuscaloosa County, Alabama",01,125
224,"Washington County, Alabama",01,129
225,"Wilcox County, Alabama",01,131
226,"Alameda County, California",06,001
227,"Alpine County, California",06,003
228,"Butte County, California",06,007
229,"Colusa County, California",06,011
230,"Contra Costa County, California",06,013
231,"El Dorado County, California",06,017
232,"Fresno County, California",06,019
233,"Chambers County, Alabama",01,017
234,"Humboldt County, California",06,023
235,"Imperial County, California",06,025
236,"Kern County, California",06,029
237,"Kings County, California",06,031
238,"Lassen County, California",06,035
239,"Madera County, California",06,039
240,"Marin County, California",06,041
241,"Mariposa County, California",06,043
242,"Mendocino County, California",06,045
243,"Merced County, California",06,047
244,"Modoc County, California",06,049
245,"Clay County, Minnesota",27,027
246,"Clearwater County, Minnesota",27,029
247,"Cook County, Minnesota",27,031
248,"Cottonwood County, Minnesota",27,033
249,"Crow Wing County, Minnesota",27,035
250,"Dakota County, Minnesota",27,037
251,"Dodge County, Minnesota",27,039
252,"Douglas County, Minnesota",27,041
253,"Faribault County, Minnesota",27,043
254,"Fillmore County, Minnesota",27,045
255,"Goodhue County, Minnesota",27,049
256,"Grant County, Minnesota",27,051
257,"Houston County, Minnesota",27,055
258,"Hubbard County, Minnesota",27,057
259,"Itasca County, Minnesota",27,061
260,"Kanabec County, Minnesota",27,065
261,"Kandiyohi County, Minnesota",27,067
262,"Koochiching County, Minnesota",27,071
263,"Lac qui Parle County, Minnesota",27,073
264,"Lake of the Woods County, Minnesota",27,077
265,"Le Sueur County, Minnesota",27,079
266,"Lyon County, Minnesota",27,083
267,"McLeod County, Minnesota",27,085
268,"Marshall County, Minnesota",27,089
269,"Martin County, Minnesota",27,091
270,"Mille Lacs County, Minnesota",27,095
271,"Morrison County, Minnesota",27,097
272,"Murray County, Minnesota",27,101
273,"Nicollet County, Minnesota",27,103
274,"Norman County, Minnesota",27,107
275,"Olmsted County, Minnesota",27,109
276,"Pennington County, Minnesota",27,113
277,"Pine County, Minnesota",27,115
278,"Polk County, Minnesota",27,119
279,"Pope County, Minnesota",27,121
280,"Red Lake County, Minnesota",27,125
281,"Redwood County, Minnesota",27,127
282,"Rice County, Minnesota",27,131
283,"Rock County, Minnesota",27,133
284,"St. Louis County, Minnesota",27,137
285,"Scott County, Minnesota",27,139
286,"Sibley County, Minnesota",27,143
287,"Stearns County, Minnesota",27,145
288,"Stevens County, Minnesota",27,149
289,"Swift County, Minnesota",27,151
290,"Traverse County, Minnesota",27,155
291,"Wabasha County, Minnesota",27,157
292,"Waseca County, Minnesota",27,161
293,"Washington County, Minnesota",27,163
294,"Wilkin County, Minnesota",27,167
295,"Winona County, Minnesota",27,169
296,"Wright County, Minnesota",27,171
297,"Yellow Medicine County, Minnesota",27,173
298,"Adair County, Missouri",29,001
299,"Andrew County, Missouri",29,003
300,"Atchison County, Missouri",29,005
301,"Audrain County, Missouri",29,007
302,"Barry County, Missouri",29,009
303,"Barton County, Missouri",29,011
304,"Alleghany County, Virginia",51,005
305,"Amelia County, Virginia",51,007
306,"Appomattox County, Virginia",51,011
307,"Arlington County, Virginia",51,013
308,"Bath County, Virginia",51,017
309,"Bedford County, Virginia",51,019
310,"Botetourt County, Virginia",51,023
311,"Brunswick County, Virginia",51,025
312,"Buckingham County, Virginia",51,029
313,"Campbell County, Virginia",51,031
314,"Carroll County, Virginia",51,035
315,"Charles City County, Virginia",51,036
316,"Charlotte County, Virginia",51,037
317,"Clarke County, Virginia",51,043
318,"Craig County, Virginia",51,045
319,"Cumberland County, Virginia",51,049
320,"Dickenson County, Virginia",51,051
321,"Essex County, Virginia",51,057
322,"Fairfax County, Virginia",51,059
323,"Floyd County, Virginia",51,063
324,"Fluvanna County, Virginia",51,065
325,"Frederick County, Virginia",51,069
326,"Giles County, Virginia",51,071
327,"Goochland County, Virginia",51,075
328,"Grayson County, Virginia",51,077
329,"Greensville County, Virginia",51,081
330,"Halifax County, Virginia",51,083
331,"Henrico County, Virginia",51,087
332,"Henry County, Virginia",51,089
333,"Isle of Wight County, Virginia",51,093
334,"James City County, Virginia",51,095
335,"King and Queen County, Virginia",51,097
336,"King George County, Virginia",51,099
337,"King William County, Virginia",51,101
338,"Lancaster County, Virginia",51,103
339,"Lee County, Virginia",51,105
340,"Loudoun County, Virginia",51,107
341,"Louisa County, Virginia",51,109
342,"Lunenburg County, Virginia",51,111
343,"Madison County, Virginia",51,113
344,"Mathews County, Virginia",51,115
345,"Mecklenburg County, Virginia",51,117
346,"Middlesex County, Virginia",51,119
347,"Montgomery County, Virginia",51,121
348,"Nelson County, Virginia",51,125
349,"New Kent County, Virginia",51,127
350,"Northampton County, Virginia",51,131
351,"Northumberland County, Virginia",51,133
352,"Nottoway County, Virginia",51,135
353,"Orange County, Virginia",51,137
354,"Page County, Virginia",51,139
355,"Patrick County, Virginia",51,141
356,"Powhatan County, Virginia",51,145
357,"Prince Edward County, Virginia",51,147
358,"Prince George County, Virginia",51,149
359,"Pulaski County, Virginia",51,155
360,"Rappahannock County, Virginia",51,157
361,"Roanoke County, Virginia",51,161
362,"Hitchcock County, Nebraska",31,087
363,"Howard County, Nebraska",31,093
364,"Kearney County, Nebraska",31,099
365,"Kimball County, Nebraska",31,105
366,"Lincoln County, Nebraska",31,111
367,"McPherson County, Nebraska",31,117
368,"Morrill County, Nebraska",31,123
369,"Nemaha County, Nebraska",31,127
370,"Valley County, Nebraska",31,175
371,"Wayne County, Nebraska",31,179
372,"York County, Nebraska",31,185
373,"Douglas County, Nevada",32,005
374,"Eureka County, Nevada",32,011
375,"Lincoln County, Nevada",32,017
376,"Nye County, Nevada",32,023
377,"Washoe County, Nevada",32,031
378,"Belknap County, New Hampshire",33,001
379,"Coos County, New Hampshire",33,007
380,"Merrimack County, New Hampshire",33,013
381,"Sullivan County, New Hampshire",33,019
382,"Ascension Parish, Louisiana",22,005
383,"Beauregard Parish, Louisiana",22,011
384,"Caddo Parish, Louisiana",22,017
385,"Cameron Parish, Louisiana",22,023
386,"Concordia Parish, Louisiana",22,029
387,"East Carroll Parish, Louisiana",22,035
388,"Franklin Parish, Louisiana",22,041
389,"Iberville Parish, Louisiana",22,047
390,"Jefferson Davis Parish, Louisiana",22,053
391,"St. Mary Parish, Louisiana",22,101
392,"Tensas Parish, Louisiana",22,107
393,"Union Parish, Louisiana",22,111
394,"Washington Parish, Louisiana",22,117
395,"West Carroll Parish, Louisiana",22,123
396,"Allegany County, New York",36,003
397,"Cattaraugus County, New York",36,009
398,"Chemung County, New York",36,015
399,"Columbia County, New York",36,021
400,"Dutchess County, New York",36,027
401,"Essex County, New York",36,031
402,"Genesee County, New York",36,037
403,"Herkimer County, New York",36,043
404,"Lewis County, New York",36,049
405,"Monroe County, New York",36,055
406,"New York County, New York",36,061
407,"Onondaga County, New York",36,067
408,"Orleans County, New York",36,073
409,"Putnam County, New York",36,079
410,"Richmond County, New York",36,085
411,"Anson County, North Carolina",37,007
412,"Beaufort County, North Carolina",37,013
413,"Brunswick County, North Carolina",37,019
414,"Cabarrus County, North Carolina",37,025
415,"Carteret County, North Carolina",37,031
416,"Chatham County, North Carolina",37,037
417,"Cleveland County, North Carolina",37,045
418,"Cumberland County, North Carolina",37,051
419,"Davidson County, North Carolina",37,057
420,"Monterey County, California",06,053
421,"Napa County, California",06,055
422,"Nevada County, California",06,057
423,"Orange County, California",06,059
424,"Placer County, California",06,061
425,"Plumas County, California",06,063
426,"Riverside County, California",06,065
427,"Sacramento County, California",06,067
428,"San Benito County, California",06,069
429,"San Bernardino County, California",06,071
430,"San Diego County, California",06,073
431,"San Francisco County, California",06,075
432,"San Joaquin County, California",06,077
433,"San Luis Obispo County, California",06,079
434,"San Mateo County, California",06,081
435,"Santa Clara County, California",06,085
436,"Santa Cruz County, California",06,087
437,"Sierra County, California",06,091
438,"Solano County, California",06,095
439,"Sonoma County, California",06,097
440,"Sutter County, California",06,101
441,"Tehama County, California",06,103
442,"Tulare County, California",06,107
443,"Tuolumne County, California",06,109
444,"Yolo County, California",06,113
445,"Yuba County, California",06,115
446,"Ashley County, Arkansas",05,003
447,"Baxter County, Arkansas",05,005
448,"Boone County, Arkansas",05,009
449,"Calhoun County, Arkansas",05,013
450,"Carroll County, Arkansas",05,015
451,"Clark County, Arkansas",05,019
452,"Clay County, Arkansas",05,021
453,"Cleveland County, Arkansas",05,025
454,"Columbia County, Arkansas",05,027
455,"Craighead County, Arkansas",05,031
456,"Crittenden County, Arkansas",05,035
457,"Cross County, Arkansas",05,037
458,"Desha County, Arkansas",05,041
459,"Drew County, Arkansas",05,043
460,"Franklin County, Arkansas",05,047
461,"Fulton County, Arkansas",05,049
462,"Grant County, Arkansas",05,053
463,"Hempstead County, Arkansas",05,057
464,"Hot Spring County, Arkansas",05,059
465,"Independence County, Arkansas",05,063
466,"Izard County, Arkansas",05,065
467,"Mono County, California",06,051
468,"Jefferson County, Arkansas",05,069
469,"Johnson County, Arkansas",05,071
470,"Lawrence County, Arkansas",05,075
471,"Lincoln County, Arkansas",05,079
472,"Little River County, Arkansas",05,081
473,"Lonoke County, Arkansas",05,085
474,"Madison County, Arkansas",05,087
475,"Miller County, Arkansas",05,091
476,"Monroe County, Arkansas",05,095
477,"Montgomery County, Arkansas",05,097
478,"Bates County, Missouri",29,013
479,"Benton County, Missouri",29,015
480,"Bollinger County, Missouri",29,017
481,"Boone County, Missouri",29,019
482,"Buchanan County, Missouri",29,021
483,"Butler County, Missouri",29,023
484,"Caldwell County, Missouri",29,025
485,"Callaway County, Missouri",29,027
486,"Camden County, Missouri",29,029
487,"Cape Girardeau County, Missouri",29,031
488,"Carroll County, Missouri",29,033
489,"Carter County, Missouri",29,035
490,"Cedar County, Missouri",29,039
491,"Chariton County, Missouri",29,041
492,"Clark County, Missouri",29,045
493,"Clay County, Missouri",29,047
494,"Cole County, Missouri",29,051
495,"Cooper County, Missouri",29,053
496,"Dade County, Missouri",29,057
497,"Dallas County, Missouri",29,059
498,"DeKalb County, Missouri",29,063
499,"Dent County, Missouri",29,065
500,"Dunklin County, Missouri",29,069
501,"Franklin County, Missouri",29,071
502,"Gentry County, Missouri",29,075
503,"Greene County, Missouri",29,077
504,"Harrison County, Missouri",29,081
505,"Henry County, Missouri",29,083
506,"Holt County, Missouri",29,087
507,"Howard County, Missouri",29,089
508,"Iron County, Missouri",29,093
509,"Jackson County, Missouri",29,095
510,"Jefferson County, Missouri",29,099
511,"Knox County, Missouri",29,103
512,"Laclede County, Missouri",29,105
513,"Lawrence County, Missouri",29,109
514,"Lewis County, Missouri",29,111
515,"Linn County, Missouri",29,115
516,"Livingston County, Missouri",29,117
517,"Macon County, Missouri",29,121
518,"Madison County, Missouri",29,123
519,"Marion County, Missouri",29,127
520,"Mercer County, Missouri",29,129
521,"Mississippi County, Missouri",29,133
522,"Moniteau County, Missouri",29,135
523,"Montgomery County, Missouri",29,139
524,"Morgan County, Missouri",29,141
525,"Newton County, Missouri",29,145
526,"Nodaway County, Missouri",29,147
527,"Osage County, Missouri",29,151
528,"Ozark County, Missouri",29,153
529,"Perry County, Missouri",29,157
530,"Pettis County, Missouri",29,159
531,"Phelps County, Missouri",29,161
532,"Pike County, Missouri",29,163
533,"Platte County, Missouri",29,165
534,"Polk County, Missouri",29,167
535,"Pulaski County, Missouri",29,169
536,"Putnam County, Missouri",29,171
537,"Rockbridge County, Virginia",51,163
538,"Russell County, Virginia",51,167
539,"Scott County, Virginia",51,169
540,"Smyth County, Virginia",51,173
541,"Southampton County, Virginia",51,175
542,"Stafford County, Virginia",51,179
543,"Surry County, Virginia",51,181
544,"Tazewell County, Virginia",51,185
545,"Warren County, Virginia",51,187
546,"Westmoreland County, Virginia",51,193
547,"Wise County, Virginia",51,195
548,"York County, Virginia",51,199
549,"Alexandria city, Virginia",51,510
550,"Buena Vista city, Virginia",51,530
551,"Charlottesville city, Virginia",51,540
552,"Colonial Heights city, Virginia",51,570
553,"Covington city, Virginia",51,580
554,"Danville city, Virginia",51,590
555,"Fairfax city, Virginia",51,600
556,"Falls Church city, Virginia",51,610
557,"Fredericksburg city, Virginia",51,630
558,"Galax city, Virginia",51,640
559,"Harrisonburg city, Virginia",51,660
560,"Hopewell city, Virginia",51,670
561,"Lynchburg city, Virginia",51,680
562,"Manassas city, Virginia",51,683
563,"Martinsville city, Virginia",51,690
564,"Newport News city, Virginia",51,700
565,"Norton city, Virginia",51,720
566,"Petersburg city, Virginia",51,730
567,"Portsmouth city, Virginia",51,740
568,"Radford city, Virginia",51,750
569,"Roanoke city, Virginia",51,770
570,"Salem city, Virginia",51,775
571,"Staunton city, Virginia",51,790
572,"Suffolk city, Virginia",51,800
573,"Virginia Beach city, Virginia",51,810
574,"Waynesboro city, Virginia",51,820
575,"Williamsburg city, Virginia",51,830
576,"Winchester city, Virginia",51,840
577,"Adams County, Washington",53,001
578,"Asotin County, Washington",53,003
579,"Benton County, Washington",53,005
580,"Chelan County, Washington",53,007
581,"Clallam County, Washington",53,009
582,"Clark County, Washington",53,011
583,"Columbia County, Washington",53,013
584,"Cowlitz County, Washington",53,015
585,"Douglas County, Washington",53,017
586,"Ferry County, Washington",53,019
587,"Franklin County, Washington",53,021
588,"Garfield County, Washington",53,023
589,"Grant County, Washington",53,025
590,"Grays Harbor County, Washington",53,027
591,"Island County, Washington",53,029
592,"King County, Washington",53,033
593,"Kitsap County, Washington",53,035
594,"Kittitas County, Washington",53,037
595,"Lewis County, Washington",53,041
596,"Durham County, North Carolina",37,063
597,"Franklin County, North Carolina",37,069
598,"Graham County, North Carolina",37,075
599,"Guilford County, North Carolina",37,081
